num,PET,variation,category,orig_text,clean_text,char_count,word_count,edited_text,label
11,aramızdan ayrıldı,aramızdan ayrılanlar,death,"Belek kampındaki basın toplantısında ""Gelenler olacağı gibi aramızdan ayrılanlar da olacak"" diyen Denizli kafasında 3-4 ismin biletini kesti. Sivasspor maçında 18 kişilik kadroya alınmayan Jem Karacan ve Jose Rodriguez kurt hocanın ikinci yarı planlarında yok. Sabri'den memnun olan Denizli, Linnes transferi sonrası sağ bekte 3. alternatif konumuna düşen Tarık ve Koray'ı da yollayacak. (Sabah) Sürpriz gelişme! Salih... Podolski gideceği takımı açıkladı","belek kampındaki basın toplantısında ""gelenler olacağı gibi aramızdan ayrılanlar da olacak"" diyen denizli kafasında 3-4 ismin biletini kesti. sivasspor maçında 18 kişilik kadroya alınmayan jem karacan ve jose rodriguez kurt hocanın ikinci yarı planlarında yok. sabri'den memnun olan denizli, linnes transferi sonrası sağ bekte 3. alternatif konumuna düşen tarık ve koray'ı da yollayacak. (sabah) sürpriz gelişme! salih... podolski gideceği takımı açıkladı",455,61,"Belek kampındaki basın toplantısında ""Gelenler olacağı gibi [PET_BOUNDARY]aramızdan ayrılanlar[PET_BOUNDARY] da olacak"" diyen Denizli kafasında 3 - 4 ismin biletini kesti. Sivasspor maçında 18 kişilik kadroya alınmayan Jem Karacan ve Jose Rodriguez kurt hocanın ikinci yarı planlarında yok. Sabri'den memnun olan Denizli, Linnes transferi sonrası sağ bekte 3. alternatif konumuna düşen Tarık ve Koray'ı da yollayacak. (Sabah) Sürpriz gelişme! Salih... Podolski gideceği takımı açıkladı",0
12,aramızdan ayrıldı,aramızdan ayrılan,death,"Porto teknik direktörü Vitor Manuel de Oliveira, Portekiz basınına Quaresma hakkında yorum yapmaktan kaçındı. Teknik direktör Oliveira, son günlerde Quaresma'nın adının Porto ile anıldığı hatırlatılması üzerine şunları söyledi: ""Şu anda iyi futbolcuların oluşturduğu başarılı bir takımım var. Umarım devre arası transfer döneminde aramızdan ayrılan olmaz. Quaresma konusunda ise bir yorum yapmak istemiyorum. Çünkü Quaresma bizim futbolcumuz değil ve O'nun hakkında yorum yapmam saygısızlık olur.""","porto teknik direktörü vitor manuel de oliveira, portekiz basınına quaresma hakkında yorum yapmaktan kaçındı. teknik direktör oliveira, son günlerde quaresma'nın adının porto ile anıldığı hatırlatılması üzerine şunları söyledi: ""şu anda iyi futbolcuların oluşturduğu başarılı bir takımım var. umarım devre arası transfer döneminde aramızdan ayrılan olmaz. quaresma konusunda ise bir yorum yapmak istemiyorum. çünkü quaresma bizim futbolcumuz değil ve o'nun hakkında yorum yapmam saygısızlık olur.""",497,64,"Porto teknik direktörü Vitor Manuel de Oliveira, Portekiz basınına Quaresma hakkında yorum yapmaktan kaçındı. Teknik direktör Oliveira, son günlerde Quaresma'nın adının Porto ile anıldığı hatırlatılması üzerine şunları söyledi: ""Şu anda iyi futbolcuların oluşturduğu başarılı bir takımım var. Umarım devre arası transfer döneminde [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] olmaz. Quaresma konusunda ise bir yorum yapmak istemiyorum. Çünkü Quaresma bizim futbolcumuz değil ve O'nun hakkında yorum yapmam saygısızlık olur.""",0
13,aramızdan ayrıldı,aramızdan ayrılması,death,"Şenol Güneş’in yönetimin tören düzenleme isteğini geri çevirmesiyle yayınlanan ‘Emeğinize teşekkürler’ mesajında şu ifadelere yer verildi: ""KULÜBÜMÜZE büyük emekleri geçen Güneş ve ekibinin aramızdan ayrılması herkesi olduğu gibi bizleri de fazlasıyla üzmüştür. Güneş ve çalışma arkadaşlarına bundan sonraki yaşamlarında sağlık, başarı ve mutluluklar diliyoruz.""","şenol güneş’in yönetimin tören düzenleme isteğini geri çevirmesiyle yayınlanan ‘emeğinize teşekkürler’ mesajında şu ifadelere yer verildi: ""kulübümüze büyük emekleri geçen güneş ve ekibinin aramızdan ayrılması herkesi olduğu gibi bizleri de fazlasıyla üzmüştür. güneş ve çalışma arkadaşlarına bundan sonraki yaşamlarında sağlık, başarı ve mutluluklar diliyoruz.""",362,44,"Şenol Güneş’in yönetimin tören düzenleme isteğini geri çevirmesiyle yayınlanan ‘Emeğinize teşekkürler’ mesajında şu ifadelere yer verildi: ""KULÜBÜMÜZE büyük emekleri geçen Güneş ve ekibinin [PET_BOUNDARY]aramızdan ayrılması[PET_BOUNDARY] herkesi olduğu gibi bizleri de fazlasıyla üzmüştür. Güneş ve çalışma arkadaşlarına bundan sonraki yaşamlarında sağlık, başarı ve mutluluklar diliyoruz.""",0
14,aramızdan ayrıldı,aramızdan ayrıldı,death,"Geride bırakmaya hazırlandığımız 2013 yılı genelinde sanat , spor , siyaset, medya ve bilim dünyasından pek çok ünlü isim aramızdan ayrıldı. Arabesk müziğin 'Baba'sı ünlü sanatçı Müslüm Gürses, Usta gazeteci Mehmet Ali Birand ve daha çok sayıda sevilen isim...","geride bırakmaya hazırlandığımız 2013 yılı genelinde sanat , spor , siyaset, medya ve bilim dünyasından pek çok ünlü isim aramızdan ayrıldı. arabesk müziğin 'baba'sı ünlü sanatçı müslüm gürses, usta gazeteci mehmet ali birand ve daha çok sayıda sevilen isim...",260,39,"Geride bırakmaya hazırlandığımız 2013 yılı genelinde sanat , spor , siyaset, medya ve bilim dünyasından pek çok ünlü isim [PET_BOUNDARY]aramızdan ayrıldı[PET_BOUNDARY]. Arabesk müziğin 'Baba'sı ünlü sanatçı Müslüm Gürses, Usta gazeteci Mehmet Ali Birand ve daha çok sayıda sevilen isim...",1
15,aramızdan ayrıldı,aramızdan ayrılmasıyla,death,"KÜLTÜR SANAT SERVİSİ 87 yaşında solunum yetmezliği nedeniyle aramızdan ayrılmasıyla sevenlerini ve okuyucularını yasa boğan Koraman, uzun yıllar Milliyet gazetesinde çizdi. Koraman, ağır konuları ele aldığı siyasi karikatürlerinde umutsuzluk değil neşeye yer vermesi ve teknik hakimiyetiyle kuşağının önde gelen çizerleri arasında özel bir yere sahipti. Etiketler: bugün , Bodrum","kültür sanat servi̇si̇ 87 yaşında solunum yetmezliği nedeniyle aramızdan ayrılmasıyla sevenlerini ve okuyucularını yasa boğan koraman, uzun yıllar milliyet gazetesinde çizdi. koraman, ağır konuları ele aldığı siyasi karikatürlerinde umutsuzluk değil neşeye yer vermesi ve teknik hakimiyetiyle kuşağının önde gelen çizerleri arasında özel bir yere sahipti. etiketler: bugün , bodrum",381,49,"KÜLTÜR SANAT SERVİSİ 87 yaşında solunum yetmezliği nedeniyle [PET_BOUNDARY]aramızdan ayrılmasıyla[PET_BOUNDARY] sevenlerini ve okuyucularını yasa boğan Koraman, uzun yıllar Milliyet gazetesinde çizdi. Koraman, ağır konuları ele aldığı siyasi karikatürlerinde umutsuzluk değil neşeye yer vermesi ve teknik hakimiyetiyle kuşağının önde gelen çizerleri arasında özel bir yere sahipti. Etiketler: bugün , Bodrum",1
16,aramızdan ayrıldı,aramızdan ayrılalı,death,"KÜLTÜR SANAT SERVİSİ Ulusoy, yazarın Basınköy’deki evinin müzeye dönüştürülmesi halinde destek vermeye hazır olduklarını belirtti. Ulusoy yaptığı açıklamada ""Yaşar Kemal, aramızdan ayrılalı bir yıl oldu. Bir yıl boyunca uzun yıllarını geçirdiği Basınköy’deki evinin müzeye dönüştürülmesi hepimizin görevi olmalıdır"" diye belirtti. Etiketler: TÜRSAB , Başaran Ulusoy","kültür sanat servi̇si̇ ulusoy, yazarın basınköy’deki evinin müzeye dönüştürülmesi halinde destek vermeye hazır olduklarını belirtti. ulusoy yaptığı açıklamada ""yaşar kemal, aramızdan ayrılalı bir yıl oldu. bir yıl boyunca uzun yıllarını geçirdiği basınköy’deki evinin müzeye dönüştürülmesi hepimizin görevi olmalıdır"" diye belirtti. etiketler: türsab , başaran ulusoy",367,45,"KÜLTÜR SANAT SERVİSİ Ulusoy, yazarın Basınköy’deki evinin müzeye dönüştürülmesi halinde destek vermeye hazır olduklarını belirtti. Ulusoy yaptığı açıklamada ""Yaşar Kemal, [PET_BOUNDARY]aramızdan ayrılalı[PET_BOUNDARY] bir yıl oldu. Bir yıl boyunca uzun yıllarını geçirdiği Basınköy’deki evinin müzeye dönüştürülmesi hepimizin görevi olmalıdır"" diye belirtti. Etiketler: TÜRSAB , Başaran Ulusoy",1
17,aybaşı,aybaşında,bodily functions,"Aybaşında Ali Sirmen, Cumhuriyet’te tatil izninin okurdan istendiğini yazmıştı. Bu geleneğe saygı duymakla birlikte, ben yazmamak için değil, yazmak için izin istiyorum. Saçma gibi görünüyor, ama bir süredir üzerinde çalıştığım yazı dizisini bayram sonrasına yetiştirmem gerekiyor. Aslında bayramda çalıştığımı bayram sonrası kanıtlamak kaydıyla ve dinlenme için izin hakkımı seçim sonrası kullanmak şartıyla şimdilik bir hafta izin rica ediyorum. Hepinize şimdiden iyi bayramlar.","aybaşında ali sirmen, cumhuriyet’te tatil izninin okurdan istendiğini yazmıştı. bu geleneğe saygı duymakla birlikte, ben yazmamak için değil, yazmak için izin istiyorum. saçma gibi görünüyor, ama bir süredir üzerinde çalıştığım yazı dizisini bayram sonrasına yetiştirmem gerekiyor. aslında bayramda çalıştığımı bayram sonrası kanıtlamak kaydıyla ve dinlenme için izin hakkımı seçim sonrası kullanmak şartıyla şimdilik bir hafta izin rica ediyorum. hepinize şimdiden iyi bayramlar.",480,62,"[PET_BOUNDARY]Aybaşında[PET_BOUNDARY] Ali Sirmen, Cumhuriyet’te tatil izninin okurdan istendiğini yazmıştı. Bu geleneğe saygı duymakla birlikte, ben yazmamak için değil, yazmak için izin istiyorum. Saçma gibi görünüyor, ama bir süredir üzerinde çalıştığım yazı dizisini bayram sonrasına yetiştirmem gerekiyor. Aslında bayramda çalıştığımı bayram sonrası kanıtlamak kaydıyla ve dinlenme için izin hakkımı seçim sonrası kullanmak şartıyla şimdilik bir hafta izin rica ediyorum. Hepinize şimdiden iyi bayramlar.",0
18,aybaşı,aybaşı,bodily functions,-  Uykusuzluğu durdurur - Soğuk algınlığına iyi gelir - Aybaşı ağrılarını geçirir -  Mide bulantısını durdurur - Midedeki aşırı gazı alır Sağlık için : Yaprağı  kaynatılarak demlenir ve çayı yapılır .,-  uykusuzluğu durdurur soğuk algınlığına iyi gelir aybaşı ağrılarını geçirir  mide bulantısını durdurur midedeki aşırı gazı alır sağlık için yaprağı  kaynatılarak demlenir veayı yapılır,186,24,-  Uykusuzluğu durdurur - Soğuk algınlığına iyi gelir - [PET_BOUNDARY]Aybaşı[PET_BOUNDARY] ağrılarını geçirir -  Mide bulantısını durdurur - Midedeki aşırı gazı alır Sağlık için: Yaprağı  kaynatılarak demlenir ve çayı yapılır.,1
19,aybaşı,aybaşı,bodily functions,"""Kadınların aybaşı dönemlerini düzenler , adet sancılarını geçirir , vajinal bir  çok hastalığı iyileştirir ve menopoz dönemini kolaylaştırır .""","""kadınların aybaşı dönemlerini düzenler adet sancılarını geçirir vajinal bir ok hastalığı iyileştirir ve menopoz dönemini kolaylaştırır",135,16,"""Kadınların [PET_BOUNDARY]aybaşı[PET_BOUNDARY] dönemlerini düzenler, adet sancılarını geçirir, vajinal bir  çok hastalığı iyileştirir ve menopoz dönemini kolaylaştırır.""",1
20,aybaşı,aybaşı,bodily functions,"""Rahim kanseri , rahim içindeki  her ay aybaşı kanaması ile dökülen kısımdan kaynaklanan bir kanserdir .""","""rahim kanseri rahim içindeki  her ay aybaşı kanaması ile dökülen kısımdan kaynaklanan bir kanserdir",100,14,"""Rahim kanseri, rahim içindeki  her ay [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanaması ile dökülen kısımdan kaynaklanan bir kanserdir.""",1
21,aybaşı,aybaşı,bodily functions,Aybaşı kanamalarının düzenli olmasını sağlar  .,aybaşı kanamalarının düzenli olmasını sağlar,45,5,[PET_BOUNDARY]Aybaşı[PET_BOUNDARY] kanamalarının düzenli olmasını sağlar .,1
22,aybaşı,aybaşı,bodily functions,"""Ancak , aybaşı kanamaları ve hamilelik döneminde kullanılmaz .""","""ancak aybaşı kanamaları ve hamilelik döneminde kullanılmaz",59,7,"""Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.""",1
23,aybaşı,aybaşı,bodily functions,Aybaşı kanamalarının kolay olmasını sağlar .,aybaşı kanamalarının kolay olmasını sağlar,42,5,[PET_BOUNDARY]Aybaşı[PET_BOUNDARY] kanamalarının kolay olmasını sağlar.,1
